"CPI","Metric","Value"
"CPI: Food","Start CPI (2020-01)","85.378"
"CPI: Food","End CPI (2025-12)","101.79"
"CPI: Food","Total Increase","16.412"
"CPI: Food","Increase Rate","19.2%"
"CPI: Food Excl Food & Beverage Serving Services (FFBSS)","Start CPI (2020-01)","86.817"
"CPI: Food Excl Food & Beverage Serving Services (FFBSS)","End CPI (2025-12)","101.673"
"CPI: Food Excl Food & Beverage Serving Services (FFBSS)","Total Increase","14.856"
"CPI: Food Excl Food & Beverage Serving Services (FFBSS)","Increase Rate","17.1%"
"CPI: FFBSS: Rice & Cereals","Start CPI (2020-01)","84.84"
"CPI: FFBSS: Rice & Cereals","End CPI (2025-12)","101.793"
"CPI: FFBSS: Rice & Cereals","Total Increase","16.953"
"CPI: FFBSS: Rice & Cereals","Increase Rate","20%"
"CPI: FFBSS: Meat","Start CPI (2020-01)","82.912"
"CPI: FFBSS: Meat","End CPI (2025-12)","100.463"
"CPI: FFBSS: Meat","Total Increase","17.551"
"CPI: FFBSS: Meat","Increase Rate","21.2%"
"CPI: FFBSS: Fish & Seafood","Start CPI (2020-01)","98.652"
"CPI: FFBSS: Fish & Seafood","End CPI (2025-12)","98.502"
"CPI: FFBSS: Fish & Seafood","Total Increase","-0.15"
"CPI: FFBSS: Fish & Seafood","Increase Rate","-0.2%"
"CPI: FFBSS: Milk, Other Dairy & Eggs","Start CPI (2020-01)","84.889"
"CPI: FFBSS: Milk, Other Dairy & Eggs","End CPI (2025-12)","100.616"
"CPI: FFBSS: Milk, Other Dairy & Eggs","Total Increase","15.727"
"CPI: FFBSS: Milk, Other Dairy & Eggs","Increase Rate","18.5%"
"CPI: FFBSS: Oils & Fats","Start CPI (2020-01)","83.279"
"CPI: FFBSS: Oils & Fats","End CPI (2025-12)","102.956"
"CPI: FFBSS: Oils & Fats","Total Increase","19.677"
"CPI: FFBSS: Oils & Fats","Increase Rate","23.6%"
"CPI: FFBSS: Fruits & Nuts (FN)","Start CPI (2020-01)","89.474"
"CPI: FFBSS: Fruits & Nuts (FN)","End CPI (2025-12)","104.085"
"CPI: FFBSS: Fruits & Nuts (FN)","Total Increase","14.611"
"CPI: FFBSS: Fruits & Nuts (FN)","Increase Rate","16.3%"
"CPI: FFBSS: Vegetables","Start CPI (2020-01)","84.765"
"CPI: FFBSS: Vegetables","End CPI (2025-12)","101.68"
"CPI: FFBSS: Vegetables","Total Increase","16.915"
"CPI: FFBSS: Vegetables","Increase Rate","20%"
"CPI: FFBSS: Sugar, Confectionery & Desserts (SCD)","Start CPI (2020-01)","86.58"
"CPI: FFBSS: Sugar, Confectionery & Desserts (SCD)","End CPI (2025-12)","106.207"
"CPI: FFBSS: Sugar, Confectionery & Desserts (SCD)","Total Increase","19.627"
"CPI: FFBSS: Sugar, Confectionery & Desserts (SCD)","Increase Rate","22.7%"
"CPI: FFBSS: Ready-Made & Oth. Food Nec","Start CPI (2020-01)","85.622"
"CPI: FFBSS: Ready-Made & Oth. Food Nec","End CPI (2025-12)","100.951"
"CPI: FFBSS: Ready-Made & Oth. Food Nec","Total Increase","15.329"
"CPI: FFBSS: Ready-Made & Oth. Food Nec","Increase Rate","17.9%"
"CPI: FFBSS: Non-Alcoholic Beverages","Start CPI (2020-01)","81.451"
"CPI: FFBSS: Non-Alcoholic Beverages","End CPI (2025-12)","104.804"
"CPI: FFBSS: Non-Alcoholic Beverages","Total Increase","23.353"
"CPI: FFBSS: Non-Alcoholic Beverages","Increase Rate","28.7%"
"CPI: Clothing and Footwear (C&F)","Start CPI (2020-01)","102.829"
"CPI: Clothing and Footwear (C&F)","End CPI (2025-12)","97.135"
"CPI: Clothing and Footwear (C&F)","Total Increase","-5.694"
"CPI: Clothing and Footwear (C&F)","Increase Rate","-5.5%"
"CPI: C&F: Clothing","Start CPI (2020-01)","102.671"
"CPI: C&F: Clothing","End CPI (2025-12)","96.82"
"CPI: C&F: Clothing","Total Increase","-5.851"
"CPI: C&F: Clothing","Increase Rate","-5.7%"
"CPI: C&F: Footwear","Start CPI (2020-01)","103.344"
"CPI: C&F: Footwear","End CPI (2025-12)","98.264"
"CPI: C&F: Footwear","Total Increase","-5.08"
"CPI: C&F: Footwear","Increase Rate","-4.9%"
"CPI: Housing & Utilities","Start CPI (2020-01)","86.578"
"CPI: Housing & Utilities","End CPI (2025-12)","101.529"
"CPI: Housing & Utilities","Total Increase","14.951"
"CPI: Housing & Utilities","Increase Rate","17.3%"
"CPI: Housing & Utilities: Accommodation","Start CPI (2020-01)","86.932"
"CPI: Housing & Utilities: Accommodation","End CPI (2025-12)","101.761"
"CPI: Housing & Utilities: Accommodation","Total Increase","14.829"
"CPI: Housing & Utilities: Accommodation","Increase Rate","17.1%"
"CPI: Housing & Utilities: Utilities & Other Fuels","Start CPI (2020-01)","83.931"
"CPI: Housing & Utilities: Utilities & Other Fuels","End CPI (2025-12)","99.344"
"CPI: Housing & Utilities: Utilities & Other Fuels","Total Increase","15.413"
"CPI: Housing & Utilities: Utilities & Other Fuels","Increase Rate","18.4%"
"CPI: Household Durables & Services (HDS)","Start CPI (2020-01)","93.799"
