"CPI","Component","Characteristics","Interpretation"
"CPI: Food","Trend","Trend change = 15.058","Strong upward trend over the sample period."
"CPI: Food","Seasonality","Seasonal range = 0.51","Very weak seasonality."
"CPI: Food","Residual","Residual range = 1.407","Moderate irregular variation."
"CPI: Food Excl Food & Beverage Serving Services (FFBSS)","Trend","Trend change = 13.12","Strong upward trend over the sample period."
"CPI: Food Excl Food & Beverage Serving Services (FFBSS)","Seasonality","Seasonal range = 0.629","Very weak seasonality."
"CPI: Food Excl Food & Beverage Serving Services (FFBSS)","Residual","Residual range = 1.587","Moderate irregular variation."
"CPI: FFBSS: Rice & Cereals","Trend","Trend change = 15.365","Strong upward trend over the sample period."
"CPI: FFBSS: Rice & Cereals","Seasonality","Seasonal range = 0.687","Very weak seasonality."
"CPI: FFBSS: Rice & Cereals","Residual","Residual range = 1.264","Moderate irregular variation."
"CPI: FFBSS: Meat","Trend","Trend change = 14.917","Strong upward trend over the sample period."
"CPI: FFBSS: Meat","Seasonality","Seasonal range = 0.882","Very weak seasonality."
"CPI: FFBSS: Meat","Residual","Residual range = 2.993","Relatively high irregular fluctuations."
"CPI: FFBSS: Fish & Seafood","Trend","Trend change = 5.556","Moderate upward trend."
"CPI: FFBSS: Fish & Seafood","Seasonality","Seasonal range = 4.322","Noticeable seasonal variation."
"CPI: FFBSS: Fish & Seafood","Residual","Residual range = 5.152","Relatively high irregular fluctuations."
"CPI: FFBSS: Milk, Other Dairy & Eggs","Trend","Trend change = 13.662","Strong upward trend over the sample period."
"CPI: FFBSS: Milk, Other Dairy & Eggs","Seasonality","Seasonal range = 0.979","Mild seasonal pattern."
"CPI: FFBSS: Milk, Other Dairy & Eggs","Residual","Residual range = 2.112","Moderate irregular variation."
"CPI: FFBSS: Oils & Fats","Trend","Trend change = 16.956","Strong upward trend over the sample period."
"CPI: FFBSS: Oils & Fats","Seasonality","Seasonal range = 1.761","Mild seasonal pattern."
"CPI: FFBSS: Oils & Fats","Residual","Residual range = 5.445","Relatively high irregular fluctuations."
"CPI: FFBSS: Fruits & Nuts (FN)","Trend","Trend change = 13.431","Strong upward trend over the sample period."
"CPI: FFBSS: Fruits & Nuts (FN)","Seasonality","Seasonal range = 3.046","Noticeable seasonal variation."
